Parameter,Image1,Image2,Image3
1.0,860,493,14
2.0,860,441,6
3.0,860,463,7
4.0,860,451,7
5.0,860,440,13
6.0,860,449,17
7.0,860,466,16
8.0,860,444,14
9.0,860,471,39
10.0,860,477,57
11.0,860,478,142
12.0,860,461,218
13.0,860,468,242
14.0,860,438,174
15.0,860,435,90
16.0,860,456,21
17.0,860,453,18
18.0,860,481,15
19.0,860,473,14
20.0,860,497,17
21.0,860,459,10
22.0,860,444,14
23.0,860,466,8
24.0,860,465,9
25.0,860,465,10
26.0,860,457,8
27.0,860,455,8
28.0,860,446,12
29.0,860,472,7
30.0,860,448,15
31.0,860,471,23
32.0,860,482,24
33.0,860,455,22
34.0,860,480,16
35.0,860,459,9
36.0,860,487,9
37.0,860,474,9
38.0,860,443,13
39.0,860,482,12
40.0,860,480,12
41.0,860,447,5
42.0,860,457,10
43.0,860,489,10
44.0,860,444,8
45.0,860,458,9
46.0,860,442,5
47.0,860,473,16
48.0,860,458,10
49.0,860,463,13
50.0,860,471,10
51.0,860,468,8
52.0,860,462,12
53.0,860,474,9
54.0,860,443,8
55.0,860,471,9
56.0,860,460,9
57.0,860,464,5
58.0,860,472,10
59.0,860,451,8
60.0,860,503,16
61.0,860,464,8
62.0,860,500,10
63.0,860,479,14
64.0,860,470,14
65.0,860,449,15
66.0,860,457,44
67.0,860,467,107
68.0,860,477,163
69.0,860,467,207
70.0,860,430,198
71.0,860,468,183
72.0,860,480,127
73.0,860,479,67
74.0,860,467,40
75.0,860,494,14
76.0,860,452,11
77.0,860,451,11
78.0,860,462,13
79.0,860,458,10
80.0,860,454,8
81.0,860,469,9
82.0,860,479,11
83.0,860,479,13
84.0,860,474,12
85.0,860,448,10
86.0,860,471,12
87.0,860,446,9
88.0,860,469,3
89.0,860,467,11
90.0,860,453,20
91.0,860,480,15
92.0,860,493,22
93.0,860,446,6
94.0,860,454,10
95.0,860,502,10
96.0,860,476,9
97.0,860,445,11
98.0,860,446,10
99.0,860,450,8
100.0,860,469,12
101.0,860,500,14
102.0,860,481,8
103.0,860,485,6
104.0,860,447,14
105.0,860,459,7
106.0,860,482,8
107.0,860,484,8
108.0,860,457,14
109.0,860,465,10
110.0,860,463,10
111.0,860,481,14
112.0,860,469,12
113.0,860,474,6
114.0,860,451,13
115.0,860,461,10
116.0,860,465,10
117.0,860,461,11
118.0,860,461,12
119.0,860,469,35
120.0,860,471,58
121.0,860,492,87
122.0,860,454,142
123.0,860,464,202
124.0,860,489,283
125.0,860,457,263
126.0,860,481,279
127.0,860,463,237
128.0,860,476,195
129.0,860,454,133
130.0,860,473,84
131.0,860,477,52
132.0,860,434,57
133.0,860,489,41
134.0,860,462,52
135.0,860,447,47
136.0,860,481,34
137.0,860,476,25
138.0,860,478,37
139.0,860,487,55
140.0,860,451,55
141.0,860,448,99
142.0,860,444,146
143.0,860,441,113
144.0,860,485,102
145.0,860,458,51
146.0,860,470,43
147.0,860,458,17
148.0,860,480,22
149.0,860,440,27
150.0,860,456,50
151.0,860,483,50
152.0,860,481,34
153.0,860,488,21
154.0,860,437,15
155.0,860,453,10
156.0,860,465,11
157.0,860,447,19
158.0,860,457,19
159.0,860,454,19
160.0,860,451,22
161.0,860,466,17
162.0,860,451,17
163.0,860,480,14
164.0,860,471,9
165.0,860,464,7
166.0,860,483,9
167.0,860,447,11
168.0,860,478,3
169.0,860,475,11
170.0,860,446,14
171.0,860,471,6
172.0,860,488,7
173.0,860,488,8
174.0,860,454,11
175.0,860,476,13
176.0,860,453,14
177.0,860,446,17
178.0,860,461,23
179.0,860,492,20
180.0,860,496,13
181.0,860,484,12
182.0,860,456,8
183.0,860,472,6
184.0,860,483,8
185.0,860,470,5
186.0,860,461,12
187.0,860,465,10
188.0,860,449,9
189.0,860,476,8
190.0,860,464,17
191.0,860,477,10
192.0,860,451,10
193.0,860,472,11
194.0,860,458,10
195.0,860,460,19
196.0,860,461,10
197.0,860,469,13
198.0,860,479,12
199.0,860,464,12
200.0,860,484,15
201.0,860,489,7
202.0,860,472,4
203.0,860,508,9
204.0,860,457,7
205.0,860,460,7
206.0,860,485,8
207.0,860,462,11
208.0,860,482,6
209.0,860,481,13
210.0,860,471,11
211.0,860,476,12
212.0,860,465,9
213.0,860,507,12
214.0,860,475,13
215.0,860,462,13
216.0,860,489,12
217.0,860,469,12
218.0,860,466,8
219.0,860,460,3
220.0,860,480,8
221.0,860,470,9
222.0,860,461,8
223.0,860,466,8
224.0,860,462,7
225.0,860,464,7
226.0,860,468,12
227.0,860,476,11
228.0,860,443,11
229.0,860,459,15
230.0,860,464,12
231.0,860,475,14
232.0,860,485,17
233.0,860,463,17
234.0,860,461,8
235.0,860,456,15
236.0,860,456,10
237.0,860,465,9
238.0,860,472,455
